code,mode,type,topic,topic_name,prompt,difficulty,status,instruction,prep_seconds,answer_seconds,replay_limit,source_name,license
GENERAL_DAILY_ROUTINE_B_001,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,What do you usually do first after you wake up?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_B_002,GENERAL,GENERAL_SITUATIONAL,daily-routine,Daily Routine,You are telling a new friend about your typical weekday. What do you say?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_B_003,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,Which part of your day is the busiest?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_B_004,GENERAL,GENERAL_SITUATIONAL,daily-routine,Daily Routine,Your morning was very different today. Explain what happened.,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_B_005,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,What do you like to do before you go to sleep?,BEGINNER,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_I_001,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,How does your routine change at the weekend?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_I_002,GENERAL,GENERAL_SITUATIONAL,daily-routine,Daily Routine,You need to explain your daily schedule to a roommate. Describe it clearly.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_I_003,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,What habit helps you have a productive day?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_I_004,GENERAL,GENERAL_SITUATIONAL,daily-routine,Daily Routine,Your colleague asks why you arrive early each day. Give your reason.,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
GENERAL_DAILY_ROUTINE_I_005,GENERAL,GENERAL_OPEN_TOPIC,daily-routine,Daily Routine,What small change would improve your usual routine?,INTERMEDIATE,ACTIVE,Speak for about one minute.,15,60,3,speakora-original,ORIGINAL
